homoSapienGeneId	Human_Brain_Female	Human_Brain_Male1	Human_Brain_Male2	Human_Brain_Male3	Human_Brain_Male4	Human_Brain_Male5	Human_Cerebellum_Female	Human_Cerebellum_Male	Human_Heart_Female	Human_Heart_Male1	Human_Heart_Male2	Human_Kidney_Female	Human_Kidney_Male1	Human_Kidney_Male2	Human_Liver_Male1	Human_Liver_Male2	Human_Testis_Male1	Human_Testis_Male2	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Brain_Female	Chimpanzee_Cerebellum_Male	Chimpanzee_Cerebellum_Female	Chimpanzee_Heart_Male	Chimpanzee_Heart_Female	Chimpanzee_Kidney_Male	Chimpanzee_Kidney_Female	Chimpanzee_Liver_Male	Chimpanzee_Liver_Female	Chimpanzee_Testis_Male	Gorilla_Brain_Female	Gorilla_Brain_Male	Gorilla_Cerebellum_Female	Gorilla_Cerebellum_Male	Gorilla_Heart_Female	Gorilla_Heart_Male	Gorilla_Kidney_Female	Gorilla_Kidney_Male	Gorilla_Liver_Female	Gorilla_Liver_Male	Gorilla_Testis_Male	Orangutan_Brain_Male	Orangutan_Brain_Female	Orangutan_Cerebellum_Female	Orangutan_Heart_Female	Orangutan_Heart_Male	Orangutan_Kidney_Female	Orangutan_Kidney_Male	Orangutan_Liver_Female	Orangutan_Liver_Male	Macaque_Brain_Female	Macaque_Brain_Male2	Macaque_Cerebellum_Female	Macaque_Cerebellum_Male	Macaque_Heart_Female	Macaque_Heart_Male	Macaque_Kidney_Female	Macaque_Kidney_Male	Macaque_Liver_Female	Macaque_Liver_Male	Macaque_Testis_Male2	Mouse_Brain_Female	Mouse_Brain_Male1	Mouse_Brain_Male2	Mouse_Cerebellum_Female	Mouse_Cerebellum_Male1	Mouse_Cerebellum_Male2	Mouse_Heart_Female	Mouse_Heart_Male1	Mouse_Heart_Male2	Mouse_Kidney_Female	Mouse_Kidney_Male1	Mouse_Kidney_Male2	Mouse_Liver_Female	Mouse_Liver_Male1	Mouse_Liver_Male2	Mouse_Testis_Male1	Mouse_Testis_Male2	Opossum_Brain_Female	Opossum_Brain_Male	Opossum_Cerebellum_Female	Opossum_Cerebellum_Male	Opossum_Heart_Female	Opossum_Heart_Male	Opossum_Kidney_Female	Opossum_Kidney_Male	Opossum_Liver_Female	Opossum_Liver_Male	Opossum_Testis_Male1	Opossum_Testis_Male2	Platypus_Brain_Female	Platypus_Brain_Male	Platypus_Cerebellum_Female	Platypus_Cerebellum_Male	Platypus_Heart_Female	Platypus_Heart_Male	Platypus_Kidney_Female	Platypus_Kidney_Male	Platypus_Liver_Female	Platypus_Liver_Male	Platypus_Testis_Male1	Platypus_Testis_Male2	Platypus_Testis_Male3	Chicken_Brain_Female	Chicken_Brain_Male	Chicken_Cerebellum_Female	Chicken_Cerebellum_Male	Chicken_Heart_Female	Chicken_Heart_Male	Chicken_Kidney_Female	Chicken_Kidney_Male	Chicken_Liver_Female	Chicken_Liver_Male	Chicken_Testis_Male1	Chicken_Testis_Male2
ENSG00000198824	16323	11147	19507	4402	6521	683	20032	43008	3381	5853	6219	6915	5620	5391	9717	7522	2351	10636	5707	10556	11230	15863	15281	11544	16720	28608	4328	8927	18836	15596	4147	21954	9086	17171	8282	15798	9942	2964	1444	9953	11427	10790	17299	8357	8859	18088	21545	8070	2629	7000	10614	3471	16262	20703	22431	39525	23614	5512	9359	9635	12671	6758	5240	25283	48231	128283	28953	59276	22395	51957	16253	9793	13981	28838	25278	32518	8655	7060	7216	16173	18989	67299	17614	23855	19827	4855	23518	12251	8924	9081	3990	6634	9195	30073	27161	38572	22951	5185	10581	5185	21138	14945	12050	6741	35961	26709	63879	36437	45337	58811	28992	20159	47308	31711	55384	25766	34771	66998
ENSG00000118402	31883	19242	32321	9841	1164	1362	26732	57081	228	304	303	1823	152	1063	72	75	906	8032	7251	17347	13500	42933	26997	13231	19896	28088	76	301	1842	1383	0	0	6593	24598	10489	22236	8451	151	378	3173	3718	672	1064	4792	6351	13142	10302	821	523	1129	1355	0	0	14059	24512	24253	16100	100	227	303	769	0	0	10054	43586	110731	19109	47799	18124	29018	76	228	151	225	75	379	0	0	0	76	0	24542	4853	10637	9743	0	0	1976	603	0	0	912	2797	45305	29514	30944	32891	410	667	10022	14261	681	486	1878	5550	1704	14535	10104	18999	25111	0	99	784	151	0	0	1530	2004
ENSG00000166167	102711	80104	141338	59947	23104	14613	56103	105866	17022	42743	22213	24908	20178	17075	13574	10455	19060	71465	55689	62322	52151	118643	91503	51515	58190	82153	44724	27570	47566	25876	6203	13427	75469	151314	66529	77460	56221	23693	11615	28087	31714	20804	24266	70341	83304	158457	75596	32068	20170	21120	29350	10347	29051	80171	121740	77443	61152	22542	20406	10858	13452	8859	11619	105735	97799	287819	51920	116930	60614	62983	30527	15528	22905	30992	24474	28896	14461	10720	15190	89634	136990	83391	12002	29947	24133	19183	53361	10807	7810	5101	3453	65785	152531	35055	23993	27870	26182	4189	842	9374	5841	1074	1437	24822	77147	37979	48973	27102	45324	37759	15663	17007	19317	16972	15801	32578	37289	25166
ENSG00000144724	51020	37861	43906	24645	3968	5653	26365	66177	41876	37676	35704	73301	17621	45021	18152	9816	11820	47059	10486	6387	6618	24987	15246	15021	15848	48244	28969	29116	42840	47110	8310	33962	25711	32292	13037	14671	21362	6539	13556	35181	37453	23467	39137	52894	13459	25651	13247	30435	9385	13267	8265	7092	15995	27429	46628	29326	21823	17128	9403	13212	10162	14097	11079	20638	111495	294626	49046	91796	39343	67072	99920	63814	61322	97948	88810	70563	61784	29840	54025	19757	25908	151860	19421	30432	25538	36373	75815	59215	27674	33509	25686	13845	25593	59407	21003	17566	9437	3659	3522	11305	11806	71774	56816	8710	29940	8371	140866	76478	63173	71506	37714	29798	70495	42002	82572	74514	65469	93884
ENSG00000183508	988	1443	760	456	227	456	988	1215	16913	15712	8201	18079	21173	20664	10252	1595	69220	368654	760	912	682	1520	912	1823	1596	2507	17377	9723	69635	18232	3723	19898	560373	1216	760	2150	3645	7088	2051	16411	20233	13214	21126	244355	152	683	379	4953	912	16185	5888	9926	21592	351	1062	756	1140	9286	13221	5582	5367	3417	3575	561900	6862	14051	3035	7895	3642	5620	75849	5618	7212	15439	9792	17777	17768	15645	32500	655393	610785	2743	228	684	532	4351	3731	38126	11374	2852	4073	171287	346721	344	1709	532	531	608	228	4300	5042	824	1139	950	2481	985	836	549	2407	2128	228	76	1046	1516	228	85	2934	7450
ENSG00000008086	27839	10208	20666	12970	2569	1940	4987	11862	878	2226	1316	1780	1245	1159	137	2568	3029	26036	4223	873	3075	20425	8455	15076	3714	6699	2901	1330	2792	2934	226	422	18733	27146	9544	4770	1016	449	581	2621	1475	1210	975	8609	7037	20283	1764	830	680	978	2331	76	907	31985	53376	3964	2856	640	757	3604	6326	1118	1222	40433	48740	146279	20664	29351	11683	22750	3229	2844	2727	4322	5172	3575	2464	1215	2339	26361	29876	113308	16807	14352	15566	3665	8870	9141	4616	1716	1438	67666	143851	31909	49295	5522	3307	450	1170	604	1778	1088	377	20209	64980	56823	73796	42266	54652	68545	1679	756	1196	1260	1024	1483	15222	18370
ENSG00000203667	35118	26519	33923	10610	19678	1896	55789	63231	22417	18344	31274	44624	12266	31267	35124	17504	3610	25980	10140	23930	15047	35686	26489	24635	32860	40876	63745	46508	77563	38346	10950	16387	22871	57415	24423	74227	53816	27769	16253	30979	70168	39394	50964	23138	4068	10545	9397	13442	10425	8407	24275	7266	17684	4173	4115	13373	8443	19542	8806	4990	3969	3010	1961	14955	13110	29755	4380	13558	4720	13774	23347	15138	11557	19558	19106	12753	14293	5059	11789	5077	6314	9641	2462	1703	2088	157	11925	1144	1696	1312	877	2054	5067	18130	11144	13541	13782	27979	45376	15964	31008	10199	11133	32461	96915	76588	5779	4658	4624	7744	2871	1681	3581	1285	4485	920	1420	4970
ENSG00000134809	25720	12323	25476	19646	13321	3968	18598	26581	13790	15387	27713	37225	26124	25103	37266	32326	7324	27455	12687	19888	12171	14369	16565	12373	8831	16228	12744	15438	30354	25166	5077	24494	14560	27229	11025	8538	7319	9249	6194	16245	23780	13246	17301	9215	12677	27719	5839	7790	6680	8725	14018	11159	6074	5743	16912	7679	7202	5289	5816	4614	2987	3099	9858	18706	17276	49693	9142	16126	8622	12852	36552	31787	38276	12908	12241	19230	17482	17893	17928	7147	10477	32858	16614	13088	16144	16940	49809	19503	18978	19905	13605	6403	16942	167212	150645	72294	92561	153866	138640	31259	64532	41656	30767	19521	112270	61910	25289	10488	10053	17767	11085	24492	36584	15144	15960	56935	27450	6027
ENSG00000103642	6630	3430	4836	2120	3284	379	6830	4716	9769	10368	13476	24339	1893	13801	21440	20044	2567	28984	1430	1852	1365	2167	1859	3558	3396	5686	16070	9228	15391	12826	6786	58835	32848	7309	2578	5554	2776	7442	3976	10257	18275	22964	15988	10323	1332	5719	2706	15530	6297	9646	15131	20969	23216	2416	2995	3006	3027	8040	5218	12021	8081	14564	18256	42019	13868	40813	6361	13571	5062	7473	24576	14671	16229	46358	57744	50592	49264	28533	46177	7701	10314	14050	2971	4872	3032	3261	17415	8232	7177	4318	3930	3175	5833	33352	20890	43402	34225	20979	24002	32558	51743	67603	68856	12768	68693	40350	8038	4940	13695	13549	6901	5157	79776	43438	44682	33963	19877	57468
ENSG00000163683	19195	10554	18386	13418	8788	1733	9340	26029	3435	2962	2805	11696	4185	13108	65382	27667	3226	20299	2279	5521	5097	9653	5235	6867	4638	9880	2280	5122	16695	9556	11925	23057	7674	3663	3033	1413	1543	81	531	4246	3144	4305	10636	3613	3414	5588	3908	2463	252	3788	4151	5172	19301	3361	4874	6334	4870	713	2178	2697	4900	9184	16906	4953	123715	318019	64515	140243	51794	110291	88958	50504	51786	73341	62419	65931	71323	46828	71886	81480	84071	19002	1727	8439	7550	1381	3407	7767	3908	6211	4207	1932	3463	14818	7797	17580	11692	7147	4674	33405	36514	27508	21084	5402	35987	15846	8112	5199	5620	8189	3670	3101	9404	11317	25048	20674	5877	10115
